이름|영어이름|분류|설명|레벨1|레벨2|특수능력|특수능력설명
쥐 수인||비인간|평균보다 머리 하나 크기 정도 더 작고 더 늘씬한 체구를 갖고 있습니다. 그들은 정글로부터 희귀한 물질이나 재료를 가져올 수 있게 날카로운 감각이 주어졌습니다.|감지를 보너스 기술로 얻습니다. 지혜 혹은 민첩 수정치에 +1 보너스를 받고 건강 혹은 힘 수정치에 -1 페널티를 받습니다. 당신은 빛이 적은 환경에서 잘 볼 수 있습니다. 당신의 감각은 날카로워서 완전한 어둠이나 눈이 먼 상태여도 10ft 밖에 있는 물건과 마치 시야가 있는 것 처럼 상호작용 할 수 있습니다.|||
늑대 수인||비인간|용맹한 늑대 인간들로, 반항적인 노예들을 상대하기 위해 감독관 혹은 전사로서 만들어졌습니다. 그렇다 하더라도 그들은 그들 내부자들과 서로 협동하는 본능을 갖고 있습니다.|운동을 보너스 기술로 얻습니다. 장면당 한 번 이동 행동으로 근접 범위 내에 있는 아군과 협동하며 대상에게 주요 행동을 부여합니다. 이 주요 행동은 물리적인 행동에만 사용할 수 있고 주문 시전이나 마법 아이템의 사용에는 쓸 수 없습니다. 특정 아군은 이 효과를 장면당 한 번만 받을 수 있습니다.|||
묵도 언데드|默都 Undead|비인간|언데드로 최근에 변화되었거나, 생성 후 몇 번 밖에 안죽었기 때문에 비교적 지능이 남아있는 묵도의 언데드입니다. 당신은 얼핏 사람으로 보이나, 자세하게 보면 당신의 차가운 육신은 아주 잘 보입니다. 당신은 사람의 욕구나 활동에 대해 대부분 흉내를 낼 수 있습니다.|당신은 언데드이며, 먹거나, 자거나, 마시거나, 숨쉴 필요가 없습니다. 하지만 여전히 HP나, 주문 슬롯이나, 분발을 회복하려면 8시간의 조용한 편안함이 필요합니다. 당신은 통상적인 방법으로 치료될 수 있으며, 독과 질병에 면역입니다. 당신은 참수당하거나 박살나지 않은 이상 0 HP때 자동으로 안정화됩니다. 만약 당신이 정말로 사망할 경우, 사체가 비교적 멀쩡하면 부활하기까지 수십년이 걸리고, 태워지거나 흩뿌려진다면 수백년이 걸립니다. 당신은 당신이 언데드가 된 특별한 연결 때문에 일반적인 사령술사 주문에 한해서 언데드로 취급되지 않습니다. 하지만 당신에게 영향을 끼칠 수 있는 특별한 주문이 있을 수 있습니다.|||
돼지 수인||비인간|이들 건강한 돼지 수인들은 실험체들과 영혼적 그리고 생리학적으로 잘 맞춰지도록 만들어졌습니다. 몇몇은 화가 많이 나거나 상처를 입었을 때 크나큰 분노로 아군, 적 상관없이 싸우기도 합니다.|생존을 보너스 기술로 얻습니다. 건강 수정치에 +1 보너스를 얻습니다. 당신은 비마법적인 독에 면역을 갖고, 하루에 한 번 HP가 0으로 떨어져도 완전히 박살나지 않은 이상 한 라운드 행동 할 수 있습니다. 이 시간 또한 당신의 안정화 타이머에 포함됩니다.|||
타누키 수인|Tanuki Beastfolk|비인간|이 너구리 인간들은 탐닉적인 추방자가 다양한 목적으로 사용될 수 있는 변신 종족을 만들려고 한 시도였습니다. 비록 성공적인 실험은 아니었지만 그들의 후손들은 산 숲에서 아직 발견됩니다.|잠행을 보너스 기술로 얻습니다. 당신은 탈 수 있는 절벽등의 표면을 완전한 이동속도로 움직일 수 있습니다. 하루에 한 번 주요 행동으로 언어 구사 효과를 제외한 시뮬라크럼 가면을 취하다 (Adopt the Simulacular Visage) 주문처럼 변신할 수 있습니다. 이 변신은 레벨당 2시간 유지됩니다. |||
텐구|Tengu|비인간|날개달린 까마귀 수인들이자 추방당한 제조자의 취미 프로젝트로 무투 사원에서 주로 발견됩니다. 다른 수인들 처럼 그들의 외관은 인간형 조류부터 검은 깃털의 날개만 달린 인간까지 다양하게 있습니다.|접전을 보너스 기술로 얻습니다. 당신은 바깥에서 당신의 일반 하중인 경우 30’로 비행할 수 있지만, 실내에서는 비좁기 때문에 날 수 없고, 비행하는 동안 싸우거나, 다른 복잡한 행동을 하지 못합니다. 비행은 장거리 이동을 하기에는 너무 지칩니다.|||
우사기 수인|Usagi Beastfolk|비인간|거의 멸종했지만 아직까지 몇몇 개의 토끼 수인들의 서식지가 남아 있습니다. 이들의 창조자들은 이들을 정글의 위험에서 살아날 수 있도록 속력과 행운에 관한 희한한 경향을 불어 넣은 가축들로 설계했습니다.|운동 또는 잠행을 보너스 기술로 얻고 모든 내성굴림에 +1 보너스를 얻습니다. 민첩 수정치에 +1 보너스를 얻고 힘 또는 건강 수정치에 -1 페널티를 받습니다. 장면당 한 번, 간단행동으로 지상 이동속도를 2배로 합니다. 일주일에 한 번 즉시 행동으로 행운 내성에 성공합니다.|||
자각인|自刻人|비인간|평균보다 1ft 더 크고, 지속된 노동으로 피부가 잘 탄 자각인들의 노동에 대한 끝없는 욕구는 그들을 마모시킵니다. 대부분 60세 이전에 일반적인 치료로는 복구가 안될 정도로 불구가 되고, 그쯤 되어 삭아서 사라지거나, 안락사를 받아들입니다.|운동을 보너스 기술로 얻습니다. 당신의 건강이 14보다 낮다면 14로 올립니다; 같거나 높으면 18로 합니다. 당신의 최대 기관계 부담은 2 늘어납니다. 당신은 기관계 부담, 노력, HP, 주문을 회복하기 위해 날이 저물 때 노동으로 지치거나 비슷한 다른 것으로 분투해야합니다. 이것을 못할 경우, 당신은 밤새 1점의 기관계 부담을 얻고, 최대치가 넘으면 사망합니다. 이렇게 지친 상태일 경우, 모든 명중 및 기술 판정을 두 번 굴리고 낮은 값을 사용합니다.|||
오토마톤|Automatons|다른 크리쳐|당신은 자의지가 있는 오토마톤으로 그 성질에 대한 모든 장단점을 갖고 있습니다. 당신은 아마도 인간 형태가 있을 것입니다; 당신이 원한다면 당신은 누가 자세한 조사를 하지 않는 이상 인간처럼 보이게 할 수 있습니다. 당신은 먹고 마실 수 있지만, 그것이 필요하지는 않습니다.|당신은 오토마톤의 성질을 갖고 있습니다. 당신은 다른 살아있는 크리쳐와 동일하게 치료나 그 비슷한 효과를 받으면 기관계 부담이 생깁니다. 의문스러운 자가 치료 기능과 긴 세월은 당신의 능력을 풍화 시켰습니다; 하나의 능력치를 선택하고 그 수정치를 최소 -2까지 -1 줄입니다.|||
소유품 포병종|Chattel 抱病種|다른 크리쳐|어떤 잔혹한 자들은 당신의 혈통을 그들의 배고픔을 달래기 위한 가축으로 만들었습니다. 신체적으로 약하고 학대에 저항할 수 없는 당신이 속한 아인종은 가장 좋은 경우 장난감이나 장신구로써 존재하고 그렇지 않은 지역의 경우 문자 그대로 인간 가축으로 존재합니다. 대부분의 이러한 소유품들은 그들의 비참한 상태에 만족감을 느낄 수 있게 설계되었지만, 당신은 세계에서 자신만의 길을 걸을 수 있을 정도의 자율성을 갖게 되었습니다. 비록 당신의 피 안에서 끔찍한 충동이 속삭이긴 하지만.|전투 관련이 아니고 마법이 아닌 기술 하나를 보너스 기술로 얻습니다. 당신의 힘 능력치를 3d6 대신 1d4 +2로 다시 굴립니다. 건강 혹은 매력을 선택하세요; 해당 능력치의 수정치는 최대 +3까지 +1 늘어납니다. 당신은 살아가면서 다른 사람들을 조종하고 조절해야 하기에, 모든 사회적 판정에 +1 보너스를 얻지만 물리적인 폭력에 대한 정신적인 저항 때문에 모든 공격 판정에 -2 페널티를 얻습니다.|||
기능성 포병종|Functionary 抱病種|다른 크리쳐|당신의 조상들은 일반 노동자보다 더 특이적인 어떤 기능적인 목적을 위해 만들어졌습니다. 몇몇은 살아있는 악기로 살아가거나, 다른 자들은 뒤틀린 보수 작업용 일꾼, 비인간 공연자, 지치지 않는 살아있는 계산기, 혹은 비슷한 목적으로 길러진 생물로 살아갑니다. 비록 당신이 비교적 인간처럼 보이기는 하지만 대부분의 기능성들은 능력을 얻기 위해 불구적 장애를 갖게 되었습니다. 이러한 포병종들은 자연스럽게 그들의 존재 목적을 위한 도구와 능력을 갖고 있습니다. 그것이 신체 기관이든, 주입된 장치이든, 내제된 마법적인 능력이든.|전투 관련이 아니고 마법이 아닌 기술 하나를 보너스 기술로 얻고 그 기술에 대한 특성화 인재(Specialist) 포커스를 얻습니다. 능력치를 하나 선택합니다; 그 능력치의 수정치는 최소 -2까지, -1의 페널티를 받습니다. 당신은 당신 본래의 기능을 수행함에 일반적으로 필요한 도구나 장비가 없어도 됩니다; 공예가 목적의 기능체들은 도구들을 비슷하게 재현하고, 치료가 목적이라면 의약품이 없어도 되는 등의 능력을 보여줍니다. 당신은 당신의 기능을 위한 모든 기술 판정에 +1 보너스를 얻습니다.|||
노동자 포병종|Laborer 抱病種|다른 크리쳐|당신의 혈통은 더 강력한 품종의 개량 위하여 힘든 일을 버틸 수 있는 거친 노동자 카스트로 재구축되었습니다. 비록 당신이 당신들의 동종들 보다 덜 영향을 받았더라도, 당신의 정신적인 능력들은 일반적인 사람들보다 더 무디고 당신은 명령과 지시를 따르고 싶은 본능적인 충동이 있습니다.|운동을 보너스 기술로 얻습니다. 당신의 지능, 지혜, 그리고 매력 수정치는 각각 최소 -2까지 -1 줄어들며, 당신의 힘과 건강 수정치는 최대 +3까지 +1 늘어납니다. 당신은 일반 인간들에 비해 절반의 음식과 휴식이 필요합니다. 당신의 정신에 영향을 미치는 효과에 대한 정신 내성에 -2 페널티를 받습니다.|||
죄인 포병종|Penal 抱病種|다른 크리쳐|당신의 혈통은 가학적인 마도왕이나 무자비한 외계인 기술자에 의해 저주받았습니다. 당신의 조상이 그들을 모욕했거나, 당신이 속해있던 곳이 점령당해 지배자들에 의해 영원한 도구로 만들어졌거나, 영원토록 새로운 사회 구조를 협박하지 않도록 만들어진 떨어진 지배 계층일 수도 있습니다. 당신은 육체적이나 정신적으로 특별히 손상되어있습니다. 이런 저주에도, 당신은 어떻게든 완전히 망가지지 않고, 당신의 한계와 타협하기 위해 최선을 다했습니다.|능력치를 하나 선택합니다. 해당 수정치는 최소 -3까지 -2 페널티를 받습니다. 당신의 능력치중 오직 하나만 13점을 초과할 수 있습니다; 나머지들을 13까지 낮추세요. 당신은 이런 태생적 한계를 넘기 위한 노력으로 두 가지의 추가적인 포커스를 얻었습니다. 모든 꺾을 수 없는 의지를 반영하기 위해 내성굴림에 +2 보너스를 받습니다. 당신은 능력치 개발(Developed Attribute) 포커스를 선택할 수 없습니다.|||
전쟁광 포병종|Warlike 抱病種|다른 크리쳐|당신의 종족은 죽이기 위해 태어났습니다. 잊혀진 제국의 노예병이라든지, 이 땅의 모든 인간들의 말살을 위한 살아있는 생명체 역병이든지. 당신은 항상 죽이고, 고통받게하고, 파괴하라고 하는 충동에 계속 시달리지만, 당신의 형제들과 다르게 이러한 충동을 조절할 수 있습니다… 필요하다면.|접전과 격투를 보너스 기술로 얻고, 모든 명중 판정에 자연적인 +1 보너스를 얻습니다. 지식, 지혜, 매력 중 두 개의 능력치를 선택하십시오; 이 능력치들의 수정치는 최소 -2까지 -1 페널티를 받습니다. 당신의 힘, 민첩, 혹은 건강 수정치 중 하나를 최대 +3까지 +1 올립니다. 당신은 협박과 상관없는 모든 사회적 판정에 -1 페널티를 받습니다.|||
대형 나락종|Greater 那落種|다른 크리쳐|증오의 약한 영향이든, 꺾을 수 없는 의지의 힘이든, 대부분의 나락과 다르게 당신은 인간 사회에서 활동이 가능합니다. 당신의 외형이 대부분보다 인간에 가깝지 않은 이상, 당신은 인간의 땅에서 힘든 시간을 보낼 것입니다.|접전과 격투를 보너스 기술로 얻습니다. 당신의 힘과 건강 수정치는 최대 +2까지 +1 늘어납니다. 당신의 민첩과 매력 수정치는 최소 -2까지 -1 줄어듭니다.|||
소형 나락종|Lesser 那落種|다른 크리쳐|대형 나락의 기원처럼 당신은 당신의 종족에 있어서 특별히 인간에 가깝거나 인도적인 예시이며, 천성을 잘 숨길 수 있다면 인간 사회에서 적절하게 잘 활동할 수 있습니다.|접전과 잠행을 보너스 기술로 얻습니다. 당신의 민첩 수정치는 최대 +2까지 +1 늘어납니다. 당신의 건강 수정치는 최소 -2까지 -1 줄어듭니다.|||
노역종|奴役種|다른 크리쳐|당신은 추상적인 개념, 결과에 대한 예측, 결과의 가정등을 이해할 수 있는 굉장히 똑똑한 노역종입니다. 당신은 또한 당신의 종족에 비해서 잔혹함에 더 유능합니다. |운동을 보너스 기술로 얻습니다. 당신의 힘과 건강 수정치는 최대 +2까지 +1 늘어납니다. 당신의 지능과 매력 수정치는 최소 -2까지 -1 줄어듭니다. 당신은 모든 정신 내성에 있어서 -2 페널티를 받습니다.|||
반인종|半人種; Halfmen|다른 크리쳐|당신은 당신의 무리로부터 떨어져 나왔습니다. 당신의 지능은 그때 부터 인간 정도의 수준으로 올라왔고, 이유가 뭐든 그들한테 다시 돌아가고 싶지 않습니다. |생존을 보너스 기술로 얻습니다. 당신의 건강 수정치는 최대 +2까지 +1 늘어납니다. 당신은 자연적인 극한의 추위와 더위에 면역이며, 대부분의 되새김질을 하는 동물처럼 어떤 식물도 소화할 수 있습니다. 무리로부터의 소외는 모든 정신 내성에 -2 페널티를 줍니다.|||
예속종 |隷屬種|다른 크리쳐|당신은 강제된 행복을 저항하고 다른 자기에게 진실할 수 있는 감각과 만족을 얻는 법을 스스로 배웠습니다. 명령에 따르는 것에 대해 여전히 많은 감정이 몰려오지만, 당신의 선택을 지배하게 내버려 두지는 않습니다.|설득과 공연을 보너스 기술로 얻습니다. 당신의 매력 수정치는 최대 +2까지 +1 늘어납니다. 당신의 천성적인 성질은 정신적 영향에 취약하게 해서 모든 정신 내성에 -2 페널티를 받습니다.|||
드워프|Dwarves|다른 세계|이 기원은 고전적인 드워프입니다; 짧고, 강건하고, 공예와 술에 매진되어 있습니다.|제작을 보너스 기술로 얻습니다. 당신의 건강 수정치에 +1을 얻고, 당신의 민첩 또는 매력 수정치는 -1을 받습니다. 당신은 어둠속에서 60ft까지 볼 수 있습니다.|||
엘프, 문명|Elves, Civilized|다른 세계|특정 세계에서는 선호되는 이 엘프 형태는 도시에 살고, 마법을 좋아하고, 복잡정교한 엘프다움의 해석입니다.|지식과 마법을 보너스 기술로 얻습니다. 당신의 민첩 혹은 지능 수정치는 +1 늘어나고 건강 수정치는 -1 줄어듭니다. 당신은 완전한 어둠이 아니라면 잘 볼 수 있습니다.|||
엘프, 하프 엘프|Elves, Half-Elves|다른 세계|엘프와 인간이 있다면, 하프 엘프는 캠페인 세팅에 피할 수 없이 추가됩니다. 이 포커스는 대부분의 하프 엘프 해석인 “두 개의 세계의 중간에서”의 느낌을 줍니다.|연결과 원하는 기술 하나를 보너스 기술로 얻습니다. 당신은 완벽한 어둠이 아닌 이상 조그마한 빛이 있으면 30ft 범위를 볼 수 있습니다. 당신이 엘프 쪽 부모에 더 닮았다고 한다면 민첩 수정치에 +1을 받을 수 있지만, 건강 수정치에 -1을 받습니다.|||
엘프, 숲|Elves, Forest|다른 세계|이 엘프의 해석은 자연을 숭배하고, 궁술에 능하고, 재빠른 엘프들입니다.|사격과 생존을 보너스 기술로 얻습니다. 당신의 민첩 수정치는 +1 늘고, 당신의 건강 수정치는 -1 줄어듭니다. 당신은 완전한 어둠보다 빛이 있으면 명확하게 볼 수 있습니다.|||
하플링 |Halflings|다른 세계|이 기원은 전원적이고, 작지만, 대단히 터프한 아인종 혈통입니다.|잠행을 보너스 기술로 얻습니다. 당신의 건강 혹은 민첩 수정치는 +1 늘어납니다. 당신은 양손 근접 무기, 혹은 커다란 활을 효과적으로 쓰기에 너무 작습니다.|||
노움 |Gnomes|다른 세계|노움의 해석은 매드 사이언티스트로부터 숲의 요정까지 상당히 차이가 있습니다. 이 기원은 지하에 사는 숲 거주자를 위함입니다. 발명가를 위해서 잠행 기술을 제작 기술로 바꾸십시오. |잠행을 보너스 기술로 얻습니다. 당신의 민첩 수정치는 +1 늘어나며, 힘 혹은 지혜 수정치가 -1 줄어듭니다. 당신은 어둠속에서 60ft까지 명확하게 볼 수 있습니다.|||
고블린, 발명가 |Goblins, Tinker|다른 세계|이 종류의 고블린은 상습적인 건설가인 고블린들이 있는 캠페인 배경을 위해 있습니다.|제작을 보너스 기술로 얻습니다. 당신의 민첩 혹은 지능 수정치는 +1 늘어나고, 지혜 수정치는 -1이 됩니다. 당신은 하플링의 무기제약을 갖고 있습니다. 당신은 어둠 속에서 60ft 까지 잘 볼 수 있습니다.|||
고블린, 야만|Goblins, Savage|다른 세계|사납고, 부족의 생활을 하는 늪지도, 숲, 황무지의 약탈꾼이며, 이 느낌의 고블린은 다른 작고 사나운 인간형으로 쓸 수 있습니다.|잠행과 생존을 보너스 기술로 얻습니다. 당신의 민첩 수정치는 +1 늘어나고, 지능 수정치는 -1 줄어듭니다. 당신은 하플링과 같은 무기 제약이 있습니다. 당신은 어둠 속에서 60ft까지 잘 볼 수 있습니다.|||
리자드맨 |Lizardmen|다른 세계|용인들로 치장되거나, 늪지대에 사는 악어류의 파충류 인간이거나, 이 포커스는 부족한 부분을 채워 넣을 수 있습니다.|접전과 생존을 보너스 기술로 배웁니다. 당신의 힘 혹은 매력 수정치는 +1 늘어나고, 당신의 민첩 혹은 매력 수정치는 -1 줄어듭니다. 당신의 비무장 AC는 13이며, 이보다 더 좋은 갑옷을 입으면 그 AC에 +1 보너스를 받습니다.|당신은 뭔가의 용-인간이며, 화염, 냉기, 혹은 다른 독한 물질의 숨결을 사용할 수 있습니다. 숨결은 장면당 한 번 사용할 수 있으며, 15ft 길이와 15ft너비의 원뿔형으로 효과를 일으킵니다. 범위 안의 모든 것들은 관련한 내성굴림을 굴리거나 2d6 + 당신의 레벨 만큼 피해를 입습니다. 당신은 당신이 뱉는 물질에 대해 면역을 갖습니다.||
오크 |Orcs|다른 세계|크고, 강하고, 야만적이고, 비교적 멍청합니다; 이것은 판타지 캠페인에서 일반적인 오크입니다. 이러한 PC를 플레이하고 싶은 플레이어는 이 포커스를 사용하면 됩니다.|생존과 접전 혹은 격투를 보너스 기술로 얻습니다. 당신의 힘과 건강 수정치는 +1 늘어나지만 당신의 지능 수정치는 -1 줄어듭니다. 당신은 어둠 속에서 60ft까지 잘 볼 수 있습니다.|||
드워프|Dwarves|다른 아인|당신의 PC는 드워프입니다, 외지인의 고대 지배때 만들어진 무기 종족 아인입니다. 당신은 아마도 어떤 드워프 조직체의 반항자 이겠지만, 어쩌면 그들의 이상에 대한 충성스러운 신자로 고향으로 돌아와서 동족을 도와주기 이전 세계를 좀 더 보고 싶어하는 사람 일 수 있습니다.|제작을 보너스 기술로 얻습니다. 당신은 20ft까지 단단한 물체를 마치 눈으로 확인할 수 있는 것과 같은 드워프의 공간감각이 있습니다. 당신은 마법에 대해 자연적으로 저항해 모든 적대적인 마법 효과에 대한 내성굴림에 +2 보너스를 받습니다. 당신은 절반의 음식, 물, 공기가 필요하며, 각 레벨마다 HD에 +1 보너스를 얻습니다.|당신은 드워프의 성질에 대해 깊은 연결을 갖고 있어서, 하루에 한 번 즉시 행동으로 당신에게 영향을 끼칠 수 있는 당신이 원하지 않는 마법적인 효과를 무효화시킬 수 있습니다. 당신이 1점의 기관계 부하를 받는다면, 100ft내에서 보거나 느낄 수 있는 마법적인 효과를 무효화 할 수 있습니다. 이 능력은 주문 시전, 비교적 작게 부여된 마법, 그리고 크리쳐가 생성한 마법에만 적용할 수 있습니다; 이 능력은 위업, 마법 아이템, 강력한 마법 의식을 무효화 할 수 없습니다. 2 HD 이상의 NPC 드워프들도 이 능력이 있습니다. ||
엘프|Elves|다른 아인|당신은 부활한 초월인으로, 전생의 기억의 조각들이 기억속에 남아있습니다. 이러한 조각을 개발하고 융화시키는 것에 의해 집중하면 할 수록 그것을 더 잘 떠올릴 수 있습니다. 엘프들은 정신 혹은 신체적 흠집이 없습니다. 당신이 9 미만의 능력치 점수가 있다면, 당신은 다른 능력치로부터 점수를 옮겨서 9까지 올릴 수 있습니다. 당신은 어떤 능력치를 올릴지 정할 수 있습니다. 물론, 게임 시작 후 얻게된 질병이나 폐해는 이 능력치 제한 밑으로 떨어뜨릴 수 있습니다. 당신의 PC가 사망한다면, 결국 부활할 것이지만 캠페인에서부터 먼 곳일 확률이 높습니다. 이러한 부활체는 다시 만나기가 힘들 것이며, 가장 최근의 생에 대해 기억을 못할 수 있습니다.|과거의 기억을 돌아보기 때문에 보너스 기술로 원하는 하나의 기술을 얻습니다. 당신은 하루에 한 번 실패한 기술 판정을 다시 굴릴 수 있습니다. 당신은 굉장히 날카로운 감각을 갖고 있으며, 감지를 보너스 기술로 얻고 완전한 어둠이 아닌 이상 명확하게 볼 수 있습니다.|정신 능력치를 하나 선택합니다; 과거의 기억에서 끌어와 해당 능력치의 수정치를 최대 +3까지 +1 늘립니다. 원하는 하나의 기술을 보너스 기술로 얻습니다.||
경계심|Alert|기본|여러분의 캐릭터는 주변 환경에 민감해, 의식을 피해 기습하는 것이 불가능에 가깝습니다.|감지를 보너스 기술로 얻습니다. 여러분의 캐릭터는 기습당하지 않으며, 처형 공격의 대상이 되지 않습니다. 우선권을 굴릴 때, 일행을 모두 합해 굴리는 경우엔 일행의 우선권 굴림에 +1 보너스를 줍니다. 이 보너스는 중첩되지 않습니다. 우선권을 따로 굴리는 경우에는 우선권을 두 번 굴려 더 높은 결과를 택합니다.|다른 전투원도 경계심 포커스를 택하지 않은 이상, 캐릭터는 전투에서 무조건 첫 번째로 행동합니다.||
무장 마법사|Armored Magic|기본|이 포커스는 갑옷을 입은 상태에서 주문 시전이 제한되는 마법사 캐릭터만이 선택할 수 있습니다.|여러분의 캐릭터는 총 하중 2 이하의 갑옷을 입었을 때 주문을 외울 수 있습니다. 한 손이 비어있다는 전제 하에, 방패를 든 채로도 주문을 외울 수 있습니다.|여러분의 캐릭터는 모든 종류의 갑옷을 입은 채 주문을 외울 수 있습니다. 또한, 양손이 묶이지 않았다면 무언가를 든 채로도 주문을 외울 수 있습니다.||
중장보병|Armsmaster|기본|여러분의 캐릭터는 근접 공격과 투척 공격에 비범한 소질을 가졌습니다. 이 포커스의 효과는 비무장 공격과 투척 무기가 아닌 투사체에 적용되지 않습니다. 또한, 이 포커스의 효과는 명사수 포커스나, 피해와 충격 피해에 기술 레벨을 더하는 여러 포커스와 중첩되지 않습니다.|접전을 보너스 기술로 얻습니다. 즉시 행동을 사용해 보관 중인 근접/투척 무기를 바로 꺼낼 수 있습니다. 근접/투척 무기의 피해 굴림 또는 충격 피해에 근접전 기술 레벨을 더할 수 있습니다.|여러분의 캐릭터가 가하는 근접 공격의 충격 피해를 상대의 AC가 10인 것처럼 계산해 가합니다. 모든 근접/투척 공격의 공격 굴림에 +1 보너스를 받습니다.||
장인|Artisan|기본|여러분의 캐릭터는 제작자로서 뛰어난 재능을 가졌으며, 배경과 상관없이 현장에서 임기응변으로 기술을 흉내낼 수 있습니다. 여러분의 캐릭터는 전문가가 아니라도 장비를 개조할 수 있습니다.|제작을 보너스 기술로 얻습니다. 장비 개조를 제작하고 관리할 때에 한해, 제작 기술을 1레벨 더 높은 것으로 취급합니다. 여러분의 캐릭터가 제작하는 개조는 고대 발굴품을 한 개 덜 필요로 합니다(최소 한 개).|장비에 추가하는 첫 번째 개조는 관리가 필요하지 않으며, 제작 비용은 절반이 됩니다. 이 이점은 여러분의 캐릭터가 제작한 걸작을 개조할 때의 이점과 중첩됩니다. 여러분의 캐릭터는 걸작을 만들 때 항상 성공하며, 한 달에 한 번 제작한 개조의 발굴품 요구치를 1씩 줄여, 최소 0개까지 줄일 수 있습니다.||
암살자|Assassin|기본|여러분의 캐릭터는 계획된 살인에 능숙하며, 처형 공격을 수행하는 데에 일부 이득을 얻습니다.|잠행을 보너스 기술로 얻습니다. 알몸 수색보다 덜한 강도의 수색을 당했을 때, 단검만큼 작은 물건을 숨길 수 있으며, 이렇게 숨긴 물건은 단순 행동으로 꺼낼 수 있습니다. 기습 라운드에 영거리에서 가하는 근접/투척 공격은 절대 빗나가지 않습니다.|처형 공격을 수행하는 라운드에 이동 행동을 취해, 공격 이전에 대상에게 달려들 수 있습니다. 이 이동 행동은 처형 공격을 사이에 두고 나눌 수 있으며, 너무나 급작스럽게 이루어지기에 표적이나 경호원이 반응하기 전에 접근할 수 있습니다.||
권위자|Authority|기본|여러분의 캐릭터는 다른 이들이 본능적으로 명령을 따르게 만드는 묘한 카리스마를 지니고 있습니다. 1레벨의 효과가 자연스러운 매력이라면, 2레벨의 권위는 약한 수준의 정신 감응, 또는 혈통으로 내려오는 마법적 매력에 가깝습니다. 이 포커스에서 추종자로 일컫는 대상은 캐릭터를 자발적으로 돕는 NPC를 의미합니다. PC는 추종자가 될 수 없습니다.|지휘를 보너스 기술로 얻습니다. 하루에 한 번, 비적대적인 NPC에게 요구를 할 수 있습니다. NPC의 사기 점수를 난이도로 삼아 매력/지휘 판정을 굴립니다. 성공했을 때, 대상은 캐릭터의 요구를 따를 것입니다. 다만 자신에게 해롭거나 사리에 맞지 않는 일은 거부할 수 있습니다.|캐릭터를 따르는 이들이 확신을 불태웁니다. 직접 따르는 모든 NPC가 사기 점수와 명중 굴림에 캐릭터의 지휘 기술 레벨만큼의 보너스를 얻고, 기술 판정에 +1의 보너스를 얻습니다. 캐릭터의 추종자와 부하는 심한 압박 없이는 캐릭터의 뜻에 반하지 않습니다.||
근접 전투원|Close Combatant|기본|지근거리 전투에 매우 숙련되었고, 급박한 순간에서 눈 깜짝할 사이에 무기를 뽑을 수 있습니다. 근접 전투에서 부상을 피하는 데에 매우 능숙하며, 2레벨부터는 난전의 중심에서도 눈먼 칼날을 두려워하지 않습니다.|전투 기술 중 하나를 보너스 기술로 얻습니다. 단검 크기의 투척 무기를 근접 거리에서도 페널티 없이 던질 수 있습니다. 근접 공격의 충격 피해를 무시하지만, 이는 능동적인 회피를 필요로 하기에 주문 시전에는 방해가 됩니다|캐릭터가 가하는 모든 근접 공격의 충격 피해는 AC10의 적에게 가하는 것과 같이 가해집니다. 퇴각 행동은 단순 행동으로 취급되어, 자유롭게 사용할 수 있습니다.||
연줄|Connected|기본|여러분의 캐릭터는 친구를 만들고 사람들 간의 관계를 만들어내는 일에 재능을 가졌습니다. 어디를 가든 유용하게 쓰일 사람을 찾아낼 수 있습니다.|연결을 보너스 기술로 얻습니다. 적대적이지 않은 장소에서 일주일 이상을 보냈다면 약간 불법적인 일까지 수행할 수 있는 인력망을 만들 수 있습니다. 게임 세션당 하나의 요구를 할 수 있으며, GM은 이 요구가 얼마 동안 효력을 가질지 정합니다.|세션당 한 번, 완전히 불가능한 상황이 아니라면 소박한 요구를 들어줄 수 있는 누군가를 만날 수 있습니다. 여러분은 언제, 어디에서 그를 만나는지를 정할 수 있지만, 그가 누구인지, 무엇을 할 수 있는지를 정하는 것은 GM입니다.||
교양인|Cultured|기본|여러분의 캐릭터는 잦은 여행, 주의 깊은 관찰과 연구를 통해 여러 문화권의 전통, 법, 그리고 언어를 습득했습니다. 이성을 통해 다른 이들에게 감명을 남기는 법을 배웠습니다.|연결을 보너스 기술로 얻습니다. 여러분의 캐릭터는 출신 국가의 모든 언어를 원어민 수준으로 말할 수 있으며, 비밀에 싸인 문화권에 대해서도 기본적인 정보를 가지고 있습니다. 게임 세션당 한 번, 캐릭터의 교양 있는 태도는 적대적이지 않은 NPC에게 가벼운 요구를 할 수 있게 만듭니다.|게임 세션당 한 번, 문화적 지식을 총동원해 실패한 사회적 기술 판정을 다시 굴릴 수 있습니다.||
끝까지 간다|Die Hard|기본|여러분의 캐릭터는 굉장히 죽이기 어려우며, 부상과 압박에도 굴하지 않고 끝까지 바로 설 수 있습니다.|레벨당 +2의 추가 HP를 얻습니다. 이 포커스를 1레벨 이후에 얻었다면, 보너스는 이전 레벨에도 적용됩니다. 치명상을 입어도 불타거나, 절단되지 않았다면 자동으로 안정화됩니다.|하루에 한 번, 부상으로 인해 0HP에 이르렀을 때 1HP만 남은 채로 살아남게 됩니다. 이 능력은 광범위한 즉사 수준의 피해를 받았을 때는 발동하지 않습니다.||
